drug,gene_name,mechanism,esm_lr_auroc,rank,total_genes,percentile,imputed_esm_lr_auroc,imputed_rank,imputed_total_genes,onehot_determinant,onehot_auroc,esm_minus_onehot,imputed_minus_onehot,prevalence,n_pos
cefoxitin,blaSHV-11,acquired,0.4984555984555985,2725,2807,2.956893480584255,0.5009381653057375,2681,2807,Bla Carb (acquired),0.8496249413970932,-0.3511693429414947,-0.3486867760913557,0.227,259
cefoxitin,blaCTX-M-15,acquired,0.4979207831286403,2732,2807,2.707516921980757,0.5454350481939616,1878,2807,Bla Carb (acquired),0.8496249413970932,-0.3517041582684529,-0.3041898932031316,0.482,487
cefoxitin,blaTEM-1,acquired,0.4975053048116076,2747,2807,2.173138582116141,0.5089510290062073,2599,2807,Bla Carb (acquired),0.8496249413970932,-0.3521196365854856,-0.34067391239088596,0.397,423
cefoxitin,blaSHV-28,acquired,0.4961460678444691,2764,2807,1.5675097969362284,0.5700951527564432,1522,2807,Bla Carb (acquired),0.8496249413970932,-0.35347887355262414,-0.27952978864065003,0.2525,359
cefoxitin,blaOXA-1,acquired,0.4945975765184804,2777,2807,1.1043819023868862,0.5857559445208002,1357,2807,Bla Carb (acquired),0.8496249413970932,-0.3550273648786128,-0.26386899687629306,0.237,177
cefoxitin,blaKPC-2,acquired,0.4699202496532593,2804,2807,0.14250089063057025,0.6754071558825379,567,2807,Bla Carb (acquired),0.8496249413970932,-0.3797046917438339,-0.17421778551455536,0.213,412
ceftazidime,ampC,mutation,0.8925138187935593,13,2788,99.56958393113344,0.7084418176978731,621,2789,Bla chr,0.8015641152807625,0.09094970351279674,-0.09312229758288948,0.3455,399
ceftazidime,ompK36,mutation,0.7160157264196432,730,2788,73.85222381635582,0.5736939531057178,1806,2789,Bla chr,0.8015641152807625,-0.08554838886111937,-0.22787016217504474,0.2335,258
ceftazidime,ampH,mutation,0.6876929047547792,912,2788,67.32424677187949,0.6892031843588937,763,2789,Bla chr,0.8015641152807625,-0.11387121052598337,-0.11236093092186883,0.907,933
ceftazidime,ompK37,mutation,0.6640888505277652,1056,2788,62.15925394548063,0.6669907082536839,920,2789,Bla chr,0.8015641152807625,-0.13747526475299732,-0.13457340702707865,0.8825,898
ceftazidime,ompK35,mutation,0.5606050677151596,1883,2788,32.49641319942611,0.7845077068260458,249,2789,Bla chr,0.8015641152807625,-0.24095904756560294,-0.017056408454716787,0.646,420
ceftazidime,blaSHV-1,acquired,0.5058812223717086,2592,2788,7.065997130559543,0.5504651922471993,2067,2789,Bla ESBL (acquired),0.882888190885546,-0.3770069685138374,-0.3324229986383468,0.168,121
ceftazidime,blaKPC-2,acquired,0.4984276729559749,2737,2788,1.86513629842181,0.6031184213710166,1502,2789,Bla ESBL (acquired),0.882888190885546,-0.38446051792957114,-0.2797697695145295,0.1075,212
ceftazidime,blaSHV-11,acquired,0.4977099236641221,2747,2788,1.506456241032994,0.5264742178236989,2424,2789,Bla ESBL (acquired),0.882888190885546,-0.38517826722142395,-0.3564139730618472,0.2385,215
ceftazidime,blaTEM-1,acquired,0.4916957316060455,2775,2788,0.5021520803443313,0.7,686,2789,Bla ESBL (acquired),0.882888190885546,-0.3911924592795005,-0.1828881908855461,0.25,446
ceftazidime,blaSHV-28,acquired,0.4788922661263087,2780,2788,0.3228120516499233,0.6337733201055,1212,2789,Bla ESBL (acquired),0.882888190885546,-0.40399592475923735,-0.24911487078004602,0.1515,282
ceftazidime,blaCTX-M-15,acquired,0.4728640924293098,2783,2788,0.21520803443328962,0.7818363297602052,260,2789,Bla ESBL (acquired),0.882888190885546,-0.4100240984562362,-0.10105186112534081,0.2975,572
ceftazidime,blaOXA-1,acquired,0.4720016152914255,2784,2788,0.17934002869440802,0.6526671425460353,1038,2789,Bla ESBL (acquired),0.882888190885546,-0.41088657559412056,-0.23022104833951074,0.173,323
ceftriaxone,ampC,mutation,0.8699008239062851,34,2802,98.82226980728052,0.6807648809444797,904,2804,Omp (mutations),0.801835063085063,0.06806576082122207,-0.1210701821405833,0.331,489
ceftriaxone,ompK36,mutation,0.7384762857381012,633,2802,77.4446823697359,0.5950545964271398,1743,2804,Omp (mutations),0.801835063085063,-0.06335877734696183,-0.20678046665792327,0.297,465
ceftriaxone,ampH,mutation,0.7030913295724942,847,2802,69.80728051391863,0.7024733654920846,720,2804,Omp (mutations),0.801835063085063,-0.09874373351256882,-0.09936169759297842,0.9445,1324
ceftriaxone,ompK37,mutation,0.7014240870079257,861,2802,69.30763740185581,0.6956292327828116,768,2804,Omp (mutations),0.801835063085063,-0.10041097607713734,-0.10620583030225139,0.9345,1312
ceftriaxone,ompK35,mutation,0.5569442170603726,2253,2802,19.628836545324766,0.7731427524669938,319,2804,Omp (mutations),0.801835063085063,-0.24489084602469047,-0.028692310618069206,0.602,647
