gene_name,annotation,prevalence,lr_auroc_isoniazid,n_train,n_pos,kept_filtered
mca,,0.9945,0.5080417727532983,1985,996,False
frdC,,0.994,0.5080295279742975,1986,994,False
cyp142,,0.992,0.5080271270664787,1982,997,False
phaC,,0.9865,0.5080244390422305,1976,989,False
phoR,,0.996,0.5079955539689752,1986,992,False
nrdR,,0.987,0.5079207981343161,1981,992,False
cas6,,0.995,0.507911639415351,1980,995,False
fadE2,,0.995,0.5079028307365976,1990,995,False
pafC,,0.9535,0.5078952932012907,1896,946,False
nusG,,0.989,0.50788451640073,1983,994,False
ureA,,0.997,0.5078758477352855,1995,999,False
ribE,,0.991,0.5078683286039021,1992,997,False
ureG,,0.995,0.5078459566910859,1991,996,False
rpsF,,0.988,0.5078324431328552,1984,996,False
pE_PGRS5,,0.4935,0.5078180392549403,983,534,False
yhjD,,0.995,0.5078150987789541,1986,996,False
lprD,,0.9975,0.5077430793106859,1991,998,False
bioD,,0.959,0.5077038966455871,1919,958,False
cbs,,0.982,0.5077005261669731,1958,979,False
valS,,0.9905,0.5076901645323392,1987,995,False
hisI,,0.9935,0.5076809019923383,1988,995,False
mut7-C,,0.9985,0.5076575261074914,1993,998,False
whiA,,0.989,0.5075926220384799,1981,993,False
darG,,0.999,0.5075777884203159,1996,997,False
vapC24,,0.9995,0.5075515515515516,1999,999,False
vapC27,,0.9965,0.5075447665915169,1990,996,False
qcrC,,0.9985,0.5075199943378865,1989,994,False
eccD5,,0.994,0.5074985916817722,1978,991,False
galU,,0.988,0.5074867219511401,1982,994,False
php,,0.9905,0.5074840228725194,1981,991,False
fbpA,,0.993,0.5074768772057929,1986,996,False
dosT,,0.6895,0.5074714182852726,1370,568,False
fadB2,,0.996,0.507458622368261,1986,990,False
atpF,,0.9905,0.507421658301497,1986,997,False
ripD,,0.9845,0.5074125546565639,1969,987,False
glpD1,,0.9805,0.5074079301602238,1956,975,False
irtB,,0.994,0.5074063871033568,1980,990,False
cyp123,,0.833,0.5073712805665052,1661,789,False
lcp1,,0.997,0.507309075821843,1993,996,False
vapC44,,0.9965,0.5073028532641632,1990,994,False
yoeB,,0.9985,0.5072902275729099,1988,995,False
moaE1,,0.9925,0.5072772577675676,1982,998,False
lepA,,0.988,0.5072694793200645,1988,995,False
fas,,0.9425,0.5072679326681461,1882,937,False
penP,,0.995,0.5072596510235502,1982,994,False
esxF,,0.9935,0.5071895265592197,1985,996,False
ptpA,,0.996,0.5071410769212065,1987,996,False
patA,,0.9935,0.5071215536603625,1983,992,False
nuoH,,0.993,0.5070878873718891,1987,996,False
cysM,,0.949,0.5070676088651496,1890,964,False
lppY,,0.999,0.5070615121777433,1988,996,False
gcvP,,0.9935,0.5070539162393718,1986,992,False
kmtR,,0.997,0.5070458460147044,1984,995,False
ureH,,0.998,0.5070446952977072,1995,996,False
ipdF,,0.986,0.5070040743294568,1970,983,False
rbsK,,0.9665,0.5069465899436163,1931,963,False
amt,,0.965,0.5068754593773238,1928,957,False
car,,0.9955,0.5068557361978032,1992,996,False
pgl,,0.9775,0.5068357898715042,1952,972,False
cobC,,0.984,0.5068321712520557,1969,983,False
fabH,,0.9805,0.5068287023861392,1966,983,False
hisE,,0.9885,0.5067983312439631,1973,988,False
proA,,0.987,0.5067801509128718,1979,988,False
ldtMt1,,0.998,0.5067245776621803,1990,995,False
trpE,,0.989,0.506697051579719,1978,991,False
thiE,,0.968,0.5066956893328347,1935,965,False
whiB5,,0.994,0.5066518262351111,1986,991,False
cfp6,,0.9935,0.5066245023691832,1977,990,False
mbtI,,0.997,0.5065463262920766,1989,996,False
mce3R,,0.997,0.5065230253626493,1987,994,False
hmp,,0.9935,0.5064986694359707,1986,994,False
tsaB,,0.9465,0.5064678168201937,1902,951,False
rho,,0.992,0.5064654387944527,1989,996,False
secF,,0.954,0.5064430347162535,1915,956,False
holB,,0.9635,0.5064320755532503,1924,964,False
glgX,,0.9915,0.5064161119429706,1983,992,False
paaX,,0.9915,0.5064154103852596,1985,995,False
cspA,,0.9955,0.5064117356522865,1988,996,False
gabP,,0.996,0.5063804478762922,1992,997,False
dnaG,,0.984,0.5063691674371096,1970,983,False
fgd2,,0.9865,0.5063667433224206,1973,987,False
lppO,,0.9955,0.506363811006744,1989,995,False
rpmD,,0.9885,0.5063493981040633,1985,994,False
aac(2')-Ic,,0.9955,0.5063295178928556,1987,994,False
cofC,,0.9615,0.5063234717868339,1917,957,False
atpB,,0.9895,0.5063091434564168,1984,996,False
rplC,,0.989,0.5062407177588346,1983,995,False
rplL,,0.9885,0.5061969923521914,1979,992,False
rpsD,,0.9725,0.5061506754726727,1948,983,False
ylaD,,0.998,0.5061269420127982,1992,994,False
nei2,,0.9855,0.5061001711230166,1974,991,False
ugpQ,,0.897,0.5060676359666534,1796,916,False
ephA,,0.973,0.5060406237966885,1934,980,False
phoH,,0.9875,0.506035231770582,1984,995,False
thiL,,0.9725,0.506029395074339,1951,972,False
lipA,,0.9885,0.5060186362572862,1983,998,False
proS,,0.988,0.5060080440892897,1979,992,False
ruvB,,0.966,0.5060068686404432,1939,972,False
sucC,,0.989,0.5059939047797483,1982,991,False
sirB,,0.9785,0.5059744689215738,1956,987,False
viuB,,0.987,0.5059166932070116,1970,983,False
rplV,,0.9695,0.5058619894814085,1945,971,False
rpsQ,,0.9875,0.5058455748947083,1981,993,False
resB,,0.949,0.5058380853925589,1897,942,False
rne,,0.9645,0.505834733712513,1927,960,False
yceD,,0.9955,0.5057930614704538,1989,996,False
aroA,,0.9565,0.5057703993055556,1920,960,False
ctaB,,0.997,0.5057694708768369,1977,991,False
thiD,,0.9915,0.5057612937785374,1980,995,False
pnp,,0.9835,0.5057556116827,1969,988,False
menD,,0.957,0.505736196184905,1913,956,False
gabD2,,0.98,0.5057257206916965,1954,985,False
yeaO,,0.9955,0.5057229696083949,1988,994,False
ctaC,,0.9965,0.5056705125243659,1987,996,False
pgm,,0.9885,0.5056296713914237,1979,993,False
alaS,,0.989,0.5056271598019987,1985,996,False
nusA,,0.988,0.5055687661321463,1984,994,False
murI,,0.992,0.5055468825832337,1989,997,False
cwlM,,0.9965,0.5055236505387563,1992,999,False
ddn,,0.9985,0.5055145431425099,1994,996,False
sufR,,0.9355,0.5054998075785339,1866,935,False
gnd,,0.9875,0.5054708672086721,1974,990,False
vapB22,,0.999,0.5054594226227067,1989,997,False
sodA,,0.9925,0.5054218672194131,1988,994,False
hemA,,0.9905,0.5054029010299725,1982,995,False
efpA,,0.9965,0.505402452719638,1983,992,False
erm(37),,0.9905,0.5053909654924884,1975,990,False
eAL,,0.9955,0.5053877124660257,1986,996,False
dapF,,0.9835,0.5053876203655654,1971,987,False
pckG,,0.996,0.505384489766294,1992,996,False
mutT1,,0.9985,0.50534884239278,1987,996,False
pgsA,,0.9885,0.5053352569779733,1980,994,False
rplE,,0.9875,0.5053274845047792,1982,993,False
ftsW,,0.9415,0.5053204998251191,1895,949,False
hAMP,,0.9605,0.5053168488088686,1914,966,False
hIS2,,0.9865,0.5052806635732764,1974,980,False
upp,,0.991,0.5052730645231626,1986,993,False
ttfA,,0.952,0.505198678565754,1904,948,False
dprA,,0.981,0.505188884064264,1967,980,False
lppJ,,0.9895,0.5051699420400428,1975,987,False
cobO,,0.992,0.5051493436425001,1986,992,False
zapE,,0.993,0.5051365125221248,1983,995,False
echA19,,0.8925,0.505124395601072,1782,909,False
fxsA,,0.9925,0.5051164915486523,1985,995,False
sdrC,,0.9945,0.5051136563699378,1994,999,False
terC,,0.988,0.5051057913005249,1978,993,False
amiA2,,0.9685,0.5050921247823189,1929,964,False
dciA,,0.9955,0.5050619870153197,1991,998,False
ctpC,,0.9895,0.5050474575165531,1981,989,False
cadI,,0.9945,0.5050433618591665,1977,991,False
tra5,,0.851,0.5050215796528346,1697,876,False
ilvE,,0.9875,0.5050203859022702,1979,991,False
rlmB,,0.9335,0.505010263427985,1873,925,False
mutT3,,0.979,0.5050081275234649,1953,975,False
relA,,0.992,0.5049890665892428,1985,994,False
sppA,,0.9855,0.5049797160659423,1975,987,False
esxH,,1.0,0.5049761961942163,1991,997,False
lpqN,,0.9945,0.5049059565403158,1990,997,False
prpR,,0.982,0.504898525704635,1960,983,False
sigF,,0.9945,0.5048885300237093,1992,996,False
cydC,,0.9855,0.504870213445084,1971,986,False
whiB3,,0.997,0.5048611425495847,1994,999,False
pcnB,,0.9925,0.5048601396471665,1985,991,False
pks11,,0.9665,0.5048234864121086,1929,960,False
mak,,0.997,0.5048053078203831,1994,999,False
rfe,,0.993,0.5047720909908491,1984,995,False
hisG,,0.966,0.5047631751241412,1940,964,False
parD,,0.998,0.5047125120199106,1990,996,False
aceE,,0.9925,0.5046839742910907,1982,994,False
cyp135B1,,0.9855,0.5046260433485461,1964,981,False
cut4,,0.963,0.5046202610790034,1918,953,False
aspC,,0.975,0.5045831794140092,1944,967,False
rpoA,,0.99,0.5045505022590248,1986,995,False
rpmF,,0.9875,0.5045373249598601,1984,990,False
raaS,,0.998,0.5045090044001351,1992,997,False
ribA,,0.987,0.5045011140810788,1971,988,False
hemD,,0.988,0.5045000844312832,1971,988,False
ctpI,,0.8125,0.5044709592945009,1622,799,False
fadE34,,0.961,0.5044642663579565,1921,957,False
rnhB,,0.9915,0.5043572262308998,1980,992,False
pks16,,0.994,0.5043510956684382,1988,997,False
cmk,,0.988,0.5042935039941349,1982,995,False
recN,,0.9815,0.5042855578919537,1968,986,False
ddpA,,0.973,0.5042828832247591,1948,970,False
tsf,,0.982,0.5042588235051602,1970,987,False
brkB,,0.9915,0.5042547796902875,1982,994,False
hpnD,,0.9965,0.5042101857375408,1989,994,False
senX3,,0.9975,0.5041880952719343,1985,994,False
fadA4,,0.987,0.5041755766396081,1963,980,False
higB,,0.9965,0.5041722106834556,1986,994,False
lppD,,0.4235,0.5041663859128989,847,388,False
mesT,,0.981,0.5041477509371095,1960,980,False
tmk,,0.9925,0.5041340692695955,1987,994,False
rplD,,0.968,0.5041322094911421,1942,973,False
nrdB,,0.889,0.5041286122192746,1778,874,False
rsfS,,0.988,0.5041276902207125,1990,997,False
dxr,,0.97,0.5041231821164717,1944,970,False
mscL,,0.9905,0.5041093459223464,1986,995,False
hrp1,,0.997,0.5040541833999951,1982,994,False
dnaN,,0.9875,0.5040159823035577,1980,994,False
glnB,,0.997,0.5040014622179791,1993,996,False
adhD,,0.9745,0.5039955048591839,1947,970,False
rpfC,,0.997,0.5039934139636055,1993,995,False
cfp32,,0.96,0.5039834627266387,1913,946,False
cyp126,,0.9865,0.5039710630899156,1966,990,False
rslA,,0.9975,0.5039254309112076,1993,996,False
pxpB,,0.984,0.5039213375348404,1967,984,False
acn,,0.995,0.5039150566046884,1990,994,False
mbtA,,0.9675,0.5038685364772321,1928,966,False
vapB19,,0.99,0.5038655829292904,1975,991,False
mshC,,0.995,0.503834162561176,1984,996,False
