gene_name,annotation,prevalence,lr_auroc_pyrazinamide,n_train,n_pos,kept_filtered
vapB1,,0.999,0.5218403674819518,1994,996,False
dmpG,,0.996,0.5217979564131778,1990,994,False
mmpL7,,0.9935,0.5216622417528762,1983,993,False
nuoN,,0.9955,0.5216321655730244,1993,997,False
cobO,,0.995,0.5215283677995758,1991,997,False
pPE15,,0.983,0.5214346389806512,1953,978,False
ureH,,0.9975,0.521386145785547,1994,998,False
emrB,,0.996,0.5213591428868681,1990,993,False
bpoC,,0.9965,0.5211818650597049,1989,994,False
treZ,,0.909,0.5211655492771206,1820,934,False
thrC,,0.989,0.5211444687712776,1981,993,False
nusA,,0.9885,0.5210898983648592,1989,996,False
glyA2,,0.993,0.5210028500704116,1982,991,False
lepA,,0.9905,0.5209918927441587,1983,993,False
frdC,,0.991,0.5209427792693344,1981,987,False
whiB5,,0.9945,0.5207163334835805,1985,989,False
grpE,,0.989,0.5206887896695833,1980,992,False
cds1,,0.997,0.520662170261974,1991,993,False
tra5,,0.7785,0.520562391623316,1553,833,False
fadD8,,0.9935,0.5205258770364121,1986,994,False
nrp,,0.9945,0.5205008649254459,1985,992,False
arfA,,0.999,0.5204177123014799,1997,999,False
serB1,,0.975,0.5203506386110659,1945,983,False
dR0291,,0.9975,0.5203375658036233,1995,998,False
hemW,,0.987,0.5203187014987265,1979,993,False
hisF,,0.9905,0.5202697003724386,1984,995,False
inhA,,0.996,0.5202603395926662,1992,998,False
eccD5,,0.998,0.520226510194477,1988,995,False
accD4,,0.999,0.5202040556592568,1990,994,False
rlmB,,0.9535,0.5201841029695761,1910,943,False
gltD,,0.9905,0.5201566372376668,1980,991,False
gltP,,0.989,0.5200670820431308,1982,991,False
hadB,,0.9975,0.5200657081464835,1995,997,False
ahcY,,0.997,0.520039134611999,1994,995,False
aspS,,0.9335,0.5200044468262203,1873,938,False
ypbQ,,0.994,0.520004369652257,1984,994,False
sodA,,0.9915,0.5199948838657753,1989,996,False
rbsK,,0.989,0.5199586388495449,1982,991,False
ilvE,,0.9905,0.5199579533653534,1986,994,False
cgoX,,0.96,0.5199152621358372,1910,949,False
espG,,0.997,0.5198476956975344,1993,997,False
lppM,,0.999,0.5196546854135893,1987,994,False
fadD10,,0.9885,0.5196414365122951,1974,989,False
atsA,,0.9875,0.5195482225148124,1972,980,False
dinB1,,0.9975,0.5194832239949537,1994,997,False
lipV,,0.9985,0.5194687973140669,1996,998,False
sixA,,0.995,0.5194497871002081,1992,996,False
ptbB,,0.997,0.519416826205799,1994,997,False
vapB45,,0.9745,0.5193966844726697,1941,955,False
kshB,,0.9985,0.519349944869659,1994,996,False
ddpA,,0.9945,0.5193265524409194,1991,996,False
lpqA,,0.998,0.5192665824588677,1988,992,False
eccC3,,0.995,0.5192605424628105,1983,992,False
mmaA4,,0.9915,0.5192158238986034,1983,993,False
ipdF,,0.9965,0.519201933361587,1991,996,False
ispG,,0.9925,0.5191684146458014,1994,999,False
pecA,,0.8045,0.5191144671410945,1603,824,False
dinB2,,0.9945,0.5190252897947122,1988,997,False
rsfA,,0.993,0.5188557482458405,1980,991,False
php,,0.9925,0.518806037423253,1985,993,False
eccB5,,0.9985,0.5187828779908366,1990,994,False
adhC,,0.989,0.5187093453085151,1977,989,False
terC,,0.988,0.5186807220275781,1976,990,False
mscL,,0.9915,0.5186788401089265,1990,996,False
rpsO,,0.988,0.5184284709688959,1984,996,False
helY,,0.991,0.5184035476718404,1974,990,False
vapB34,,0.999,0.5183376803858973,1993,995,False
