gene_name,annotation,prevalence,lr_auroc_streptomycin,n_train,n_pos,kept_filtered
gltB,,0.9825,0.5480216701301656,1967,990,False
hemQ,,0.993,0.5478921556587167,1977,993,False
lppP,,0.9945,0.547875443060614,1984,992,False
cut2,,0.998,0.54774626142762,1991,996,False
ccdA,,0.989,0.5476773155756847,1974,991,False
hsaA,,0.9955,0.5475778616473927,1992,996,False
esxD,,0.9915,0.5475266161715201,1979,992,False
mmpL8,,0.994,0.5474665685192001,1978,990,False
yajC,,0.9795,0.547438745911251,1972,990,False
bacA,,0.995,0.5474255073685669,1982,993,False
sigI,,0.996,0.5474254122290377,1983,993,False
celA1,,0.994,0.54739712287883,1983,994,False
mftD,,0.998,0.5473667743451016,1994,997,False
sdhC,,0.9875,0.5473101233664615,1984,994,False
cobS,,0.988,0.5469878092081903,1980,994,False
adhC,,0.9935,0.5468452676719393,1980,991,False
embR,,0.9965,0.5467985854709159,1988,996,False
ahpD,,0.994,0.5467872023433752,1990,995,False
espA,,0.998,0.5467302719443854,1974,993,False
gmhA,,0.957,0.5465712799053785,1913,966,False
cas10,,0.993,0.5465106968340656,1974,994,False
fadD5,,0.9955,0.5464286724362237,1990,996,False
pE_PGRS60,,0.3275,0.5464020970963281,651,283,False
gadA,,0.9925,0.5461439102636559,1973,991,False
hpt,,0.9885,0.5459183308336324,1978,991,False
cysNC,,0.9845,0.5458976627260971,1964,991,False
tra8,,0.997,0.545877984299005,1991,995,False
mprA,,0.9975,0.5457172611562118,1990,999,False
glpX,,0.9915,0.5456263528917414,1990,999,False
blaI,,0.994,0.5455517597022214,1987,993,False
cysK2,,0.9955,0.5454910637916568,1982,994,False
pepN,,0.9735,0.5454083570750237,1947,972,False
fadD26,,0.9965,0.5453926985883072,1987,993,False
lipC,,0.996,0.5452442755401884,1992,997,False
glmS,,0.98,0.5449167527209546,1976,992,False
pgsA1,,0.998,0.5448522734152691,1991,996,False
espB,,0.795,0.5448339959478574,1585,808,False
serB1,,0.962,0.5447893891098758,1909,952,False
vapC10,,0.997,0.5447509175656957,1989,994,False
hrcA,,0.983,0.5446720975929262,1977,992,False
lipZ,,0.9965,0.5446485559884989,1987,994,False
rpfA,,0.766,0.5445872424281368,1528,775,False
pE_PGRS8,,0.865,0.5445405782576835,1724,836,False
msbA,,0.976,0.5443901416935125,1954,979,False
tal,,0.989,0.5442849208496683,1983,994,False
lprA,,0.9955,0.5440166198805738,1986,994,False
zmp1,,0.9935,0.5439466435711039,1986,994,False
murD,,0.9825,0.5438635961136896,1971,988,False
rpfB,,0.998,0.5437259137560343,1986,996,False
menB,,0.9925,0.5437206192251581,1987,995,False
eccD1,,0.989,0.5437047399605003,1972,992,False
lat,,0.9955,0.5435669087640886,1988,996,False
chsB1,,0.959,0.5434609492946375,1902,967,False
nimA,,0.996,0.5431253396921338,1988,997,False
terC,,0.9775,0.5430858879316102,1958,992,False
ripB,,0.999,0.543072604587309,1995,998,False
plsB,,0.93,0.5427877370292145,1856,971,False
fadE25,,0.992,0.5427288287985566,1982,993,False
fprA,,0.997,0.5424256225740991,1988,995,False
sseA,,0.325,0.5423484286641328,653,469,False
lpqI,,0.9985,0.5421995141434021,1997,998,False
papA1,,0.9935,0.5420490830194858,1977,992,False
glnX,,0.999,0.541801580918933,1996,999,False
modC,,0.9915,0.5417240621966809,1988,997,False
erg3,,0.994,0.5408628240028406,1980,994,False
ctpG,,0.994,0.5406800801537643,1978,990,False
xerC,,0.979,0.5405741272608096,1967,989,False
mmpL2,,0.9875,0.540542988969658,1960,987,False
mptB,,0.997,0.5400453886913265,1987,997,False
cmcI,,0.994,0.5400192873830232,1984,993,False
sthA,,0.9955,0.5396832581947202,1983,992,False
mbtI,,0.998,0.5396143178049684,1986,995,False
kdpA,,0.985,0.5394145357974732,1974,993,False
mbtF,,0.9965,0.539176313735692,1984,992,False
thrC,,0.982,0.5390588348818899,1974,993,False
fadE5,,0.9975,0.5390490107597341,1995,997,False
dinB2,,0.9945,0.5389962057635773,1983,993,False
aftA,,0.996,0.5386831584867429,1985,994,False
kasA,,0.998,0.5383265959494645,1987,997,False
yjjB,,0.99,0.5382917319087531,1977,990,False
fadD8,,0.988,0.5382483171110055,1974,997,False
pknD,,0.971,0.5379142269178547,1942,982,False
leuB,,0.9825,0.5377862810484636,1976,995,False
murJ,,0.9885,0.5375217616432436,1981,993,False
cfa,,0.8975,0.5365533211973453,1794,953,False
pE_PGRS34,,0.84,0.5364581405216381,1677,866,False
pE_PGRS29,,0.7985,0.5364194485816107,1591,777,False
ripC,,0.9975,0.5364103345007867,1985,995,False
pncB1,,0.997,0.5358703075151108,1981,991,False
aftD,,0.988,0.5356748810359222,1976,991,False
papA5,,0.9945,0.5356396705155251,1985,994,False
pE3,,0.997,0.5356381103916373,1993,995,False
kshB,,0.9985,0.5355432775277817,1992,996,False
atpB,,0.9815,0.5354932194629717,1975,991,False
gndA,,0.9875,0.5352635097995784,1975,991,False
egtB,,0.9905,0.5349486100712868,1983,992,False
lipV,,0.9985,0.5347184985246612,1994,997,False
whiB5,,0.996,0.5345466555627825,1987,994,False
pPE11,,0.978,0.5344107369092268,1953,984,False
thiD,,0.987,0.5342866928393244,1978,990,False
sbcC,,0.9865,0.5341680960901034,1974,987,False
leuA,,0.888,0.534052166200072,1785,946,False
aspB,,0.966,0.5339240522590342,1933,969,False
eccC4,,0.9895,0.5334387923904051,1967,992,False
mmpL6,,0.8995,0.5332893156367271,1797,954,False
ddpA,,0.991,0.5332832338935362,1988,995,False
tam,,0.9915,0.5331115199396191,1975,991,False
xseA,,0.9775,0.5330917245101141,1967,986,False
mmpL11,,0.998,0.5327992997027154,1995,997,False
bpoC,,0.9945,0.532643246961428,1990,997,False
mbtA,,0.996,0.5324854130724911,1983,992,False
cpaF,,0.9805,0.5324535291186949,1959,978,False
vapC6,,0.9885,0.5323032150776054,1974,990,False
kdpB,,0.9875,0.5321807181025439,1976,992,False
yidC,,0.981,0.5319664266110894,1969,989,False
dnaE,,0.983,0.5315264867861192,1974,989,False
rho,,0.9865,0.5315066261801731,1976,992,False
